iter	Passed	Remaining
0	200	197489
1	252	124280
2	295	96948
3	344	84654
4	351	69001
5	359	58733
6	407	56986
7	409	50103
8	459	49883
9	510	49901
10	558	49575
11	606	49308
12	657	49231
13	702	48797
14	704	45657
15	755	45858
16	803	45850
17	852	45910
18	903	46049
19	948	45882
20	997	45906
21	1044	45829
22	1098	46037
23	1146	46009
24	1190	45822
25	1241	45876
26	1293	45986
27	1340	45922
28	1390	45922
29	1440	45955
30	1492	46014
31	1537	45893
32	1577	45609
33	1627	45625
34	1679	45674
35	1730	45713
36	1780	45714
37	1831	45748
38	1880	45716
39	1931	45718
40	1984	45781
41	2034	45774
42	2085	45781
43	2134	45736
44	2184	45732
45	2230	45637
46	2277	45551
47	2322	45425
48	2368	45343
49	2371	44442
50	2421	44449
51	2475	44504
52	2525	44499
53	2577	44525
54	2595	43982
55	2650	44070
56	2697	44015
57	2749	44045
58	2795	43970
59	2853	44089
60	2910	44184
61	2961	44184
62	3007	44113
63	3054	44050
64	3103	44018
65	3151	43974
66	3207	44037
67	3258	44039
68	3309	44025
69	3357	43988
70	3411	44011
71	3463	44011
72	3468	43433
73	3521	43445
74	3573	43459
75	3625	43462
76	3680	43493
77	3725	43418
78	3777	43417
79	3832	43452
80	3881	43414
81	3884	42874
82	3937	42886
83	3988	42875
84	4044	42914
85	4098	42939
86	4142	42851
87	4194	42848
88	4242	42807
89	4285	42711
90	4333	42670
91	4384	42653
92	4441	42695
93	4495	42705
94	4547	42695
95	4601	42709
96	4651	42682
97	4705	42687
98	4759	42686
99	4813	42695
100	4868	42707
101	4924	42728
102	4974	42694
103	5024	42661
104	5077	42648
105	5122	42572
106	5175	42564
107	5226	42537
108	5278	42519
109	5320	42420
110	5370	42383
111	5424	42376
112	5475	42353
113	5481	41978
114	5540	42013
115	5595	42012
116	5649	42006
117	5705	42018
118	5751	41951
119	5799	41901
120	5850	41870
121	5900	41833
122	5948	41783
123	6000	41758
124	6049	41717
125	6092	41629
126	6143	41601
127	6194	41571
128	6242	41519
129	6298	41520
130	6342	41440
131	6394	41419
132	6448	41405
133	6501	41388
134	6552	41354
135	6611	41369
136	6664	41348
137	6721	41353
138	6773	41323
139	6829	41321
140	6885	41310
141	6941	41304
142	6993	41275
143	7054	41298
144	7121	41353
145	7174	41329
146	7225	41290
147	7280	41270
148	7344	41307
149	7395	41265
150	7449	41245
151	7507	41240
152	7567	41248
153	7618	41211
154	7670	41171
155	7722	41136
156	7775	41107
157	7826	41064
158	7883	41054
159	7934	41013
160	7986	40974
161	8031	40901
162	8095	40925
163	8143	40866
164	8197	40836
165	8242	40764
166	8294	40725
167	8349	40705
168	8405	40684
169	8461	40666
170	8514	40632
171	8569	40603
172	8571	40332
173	8626	40306
174	8682	40286
175	8732	40240
176	8786	40209
177	8832	40143
178	8877	40071
179	8933	40052
180	8978	39980
181	9027	39928
182	9073	39863
183	9122	39813
184	9174	39771
185	9223	39721
186	9274	39674
187	9338	39687
188	9395	39670
189	9452	39649
190	9500	39595
191	9555	39566
192	9611	39542
193	9661	39490
194	9710	39440
195	9756	39375
196	9811	39345
197	9863	39306
198	9910	39243
199	9960	39193
200	10004	39120
201	10074	39148
202	10123	39099
203	10173	39049
204	10218	38980
205	10272	38946
206	10326	38910
207	10375	38858
208	10432	38835
209	10485	38795
210	10536	38748
211	10584	38692
212	10633	38640
213	10686	38600
214	10748	38596
215	10800	38550
216	10852	38507
217	10896	38436
218	10952	38408
219	11002	38357
220	11052	38306
221	11100	38252
222	11149	38199
223	11196	38139
224	11253	38112
225	11255	37899
226	11306	37854
227	11357	37806
228	11411	37772
229	11468	37746
230	11532	37743
231	11620	37817
232	11708	37890
233	11794	37954
234	11898	38074
235	11971	38095
236	12044	38114
237	12108	38105
238	12174	38103
239	12237	38089
240	12299	38072
241	12301	37870
242	12363	37853
243	12430	37853
244	12491	37831
245	12558	37829
246	12616	37799
247	12670	37757
248	12711	37675
249	12754	37600
250	12816	37582
251	12878	37563
252	12936	37531
253	13021	37576
254	13104	37617
255	13208	37717
256	13270	37693
257	13332	37672
258	13386	37625
259	13442	37587
260	13500	37551
261	13559	37521
262	13620	37496
263	13676	37454
264	13735	37421
265	13783	37361
266	13832	37300
267	13875	37224
268	13924	37165
269	13975	37113
270	14032	37075
271	14094	37051
272	14155	37022
273	14227	37021
274	14279	36970
275	14329	36912
276	14375	36846
277	14436	36818
278	14498	36792
279	14545	36726
280	14590	36658
281	14642	36607
282	14696	36560
283	14758	36533
284	14806	36471
285	14848	36394
286	14897	36335
287	14944	36271
288	14992	36211
289	15041	36151
290	15093	36100
291	15146	36051
292	15193	35988
293	15248	35941
294	15301	35892
295	15348	35830
296	15406	35793
297	15455	35733
298	15502	35671
299	15552	35614
300	15599	35553
301	15649	35495
302	15695	35432
303	15742	35369
304	15781	35287
305	15831	35231
306	15881	35176
307	15927	35113
308	15974	35049
309	16027	35001
310	16078	34949
311	16126	34889
312	16174	34829
313	16223	34771
314	16266	34702
315	16318	34651
316	16373	34606
317	16430	34566
318	16480	34510
319	16530	34456
320	16582	34405
321	16636	34357
322	16679	34287
323	16726	34227
324	16778	34175
325	16830	34125
326	16873	34056
327	16919	33993
328	16967	33934
329	17017	33880
330	17065	33820
331	17111	33759
332	17158	33697
333	17207	33643
334	17251	33576
335	17303	33524
336	17349	33463
337	17399	33408
338	17443	33342
339	17493	33288
340	17545	33237
341	17592	33179
342	17638	33117
343	17687	33060
344	17738	33008
345	17782	32943
346	17831	32887
347	17879	32830
348	17929	32776
349	17977	32718
350	18025	32661
351	18082	32620
352	18133	32568
353	18180	32508
354	18227	32449
355	18279	32400
356	18331	32349
357	18382	32297
358	18426	32232
359	18478	32183
360	18522	32118
361	18565	32053
362	18614	31998
363	18661	31940
364	18715	31892
365	18765	31839
366	18813	31783
367	18860	31724
368	18908	31667
369	18958	31614
370	19003	31553
371	19053	31499
372	19103	31446
373	19150	31388
374	19198	31332
375	19239	31263
376	19292	31215
377	19294	31085
378	19312	30980
379	19363	30930
380	19416	30882
381	19469	30835
382	19519	30782
383	19568	30728
384	19619	30677
385	19670	30626
386	19723	30578
387	19776	30531
388	19828	30481
389	19876	30426
390	19917	30359
391	19966	30305
392	20015	30252
