iter	Passed	Remaining
0	244	241188
1	344	169786
2	455	149373
3	464	114068
4	555	109071
5	665	108774
6	761	106557
7	872	106793
8	956	103938
9	1037	101407
10	1125	99860
11	1190	96745
12	1265	94826
13	1346	93549
14	1423	92264
15	1506	91446
16	1590	90751
17	1669	89851
18	1747	89036
19	1830	88515
20	1904	87618
21	1977	86720
22	2054	86110
23	2128	85424
24	2208	84973
25	2293	84759
26	2378	84577
27	2460	84259
28	2527	83482
29	2603	83067
30	2680	82652
31	2763	82476
32	2847	82320
33	2930	82146
34	3006	81768
35	3077	81295
36	3158	81105
37	3236	80835
38	3321	80735
39	3396	80403
40	3466	79978
41	3539	79643
42	3618	79428
43	3695	79203
44	3704	77537
45	3786	77457
46	3870	77401
47	3951	77294
48	4034	77238
49	4163	78031
50	4233	77694
51	4298	77284
52	4372	77046
53	4448	76854
54	4523	76658
55	4601	76496
56	4681	76389
57	4752	76129
58	4818	75781
59	4899	75692
60	4984	75661
61	5077	75759
62	5148	75514
63	5236	75514
64	5305	75257
65	5380	75081
66	5464	75028
67	5545	74943
68	5624	74824
69	5702	74700
70	5783	74620
71	5861	74493
72	5946	74456
73	6017	74237
74	6096	74130
75	6177	74054
76	6262	74013
77	6344	73935
78	6421	73808
79	6503	73736
80	6580	73603
81	6659	73502
82	6741	73422
83	6819	73304
84	6898	73207
85	6981	73139
86	6997	72386
87	7080	72331
88	7164	72285
89	7236	72128
90	7317	72045
91	7397	71967
92	7484	71944
93	7566	71884
94	7650	71831
95	7733	71780
96	7810	71667
97	7879	71482
98	7965	71445
99	8040	71315
100	8112	71162
101	8194	71095
102	8264	70934
103	8336	70780
104	8414	70682
105	8493	70592
106	8568	70468
107	8645	70367
108	8727	70302
109	8807	70220
110	8884	70113
111	8959	69997
112	9033	69866
113	9110	69767
114	9183	69638
115	9258	69519
116	9334	69410
117	9405	69262
118	9486	69198
119	9560	69072
120	9630	68924
121	9704	68806
122	9783	68724
123	9855	68592
124	9933	68502
125	10015	68436
126	10088	68314
127	10165	68218
128	10242	68126
129	10320	68037
130	10396	67935
131	10469	67811
132	10538	67665
133	10620	67606
134	10688	67455
135	10772	67408
136	10846	67297
137	10924	67210
138	11006	67149
139	11078	67026
140	11158	66953
141	11239	66880
142	11310	66757
143	11385	66653
144	11462	66560
145	11533	66435
146	11601	66295
147	11682	66225
148	11748	66077
149	11830	66014
150	11905	65913
151	11977	65798
152	12053	65704
153	12133	65628
154	12207	65525
155	12286	65450
156	12362	65355
157	12441	65280
158	12516	65181
159	12596	65108
160	12605	64673
161	12685	64601
162	12765	64531
163	12843	64451
164	12922	64377
165	13003	64313
166	13079	64221
167	13158	64146
168	13230	64037
169	13302	63932
170	13381	63855
171	13459	63775
172	13542	63719
173	13622	63651
174	13700	63571
175	13775	63478
176	13844	63357
177	13923	63279
178	14006	63225
179	14082	63136
180	14154	63030
181	14234	62962
182	14314	62889
183	14400	62845
184	14470	62730
185	14539	62614
186	14605	62483
187	14685	62412
188	14764	62337
189	14833	62220
190	14916	62164
191	14995	62090
192	15080	62043
193	15159	61968
194	15245	61918
195	15314	61804
196	15383	61688
197	15454	61583
198	15523	61470
199	15592	61357
200	15667	61265
201	15737	61156
202	15813	61073
203	15886	60975
204	15961	60885
205	16039	60808
206	16114	60720
207	16189	60631
208	16266	60550
209	16353	60508
210	16429	60422
211	16506	60343
212	16579	60247
213	16651	60149
214	16733	60086
215	16809	60001
216	16886	59920
217	16963	59839
218	17040	59760
219	17114	59665
220	17197	59606
221	17272	59518
222	17354	59457
223	17432	59380
224	17513	59313
225	17587	59220
226	17668	59155
227	17747	59080
228	17831	59023
229	17915	58963
230	17991	58882
231	18072	58813
232	18152	58742
233	18234	58678
234	18305	58577
235	18376	58476
236	18454	58400
237	18530	58317
238	18598	58207
239	18676	58129
240	18746	58027
241	18819	57934
242	18895	57851
243	18974	57779
244	18980	57484
245	19060	57414
246	19141	57346
247	19213	57253
248	19285	57158
249	19363	57084
250	19438	56998
251	19516	56923
252	19600	56863
253	19681	56798
254	19762	56728
255	19844	56665
256	19918	56577
257	19999	56509
258	20081	56446
259	20088	56171
260	20160	56077
261	20234	55993
262	20238	55713
263	20314	55634
264	20382	55532
265	20455	55446
266	20526	55352
267	20596	55258
268	20671	55175
269	20737	55069
270	20807	54974
271	20877	54879
272	20959	54816
273	21034	54735
274	21112	54663
275	21195	54600
276	21272	54525
277	21340	54427
278	21419	54355
279	21496	54278
280	21500	54020
281	21579	53947
282	21646	53848
283	21724	53775
284	21797	53690
285	21873	53613
286	21947	53531
287	22020	53444
288	22093	53360
289	22170	53284
290	22255	53228
291	22328	53145
292	22400	53058
293	22476	52980
294	22552	52901
295	22626	52820
296	22706	52752
297	22786	52684
298	22857	52595
299	22939	52531
300	23014	52450
301	23082	52354
302	23156	52274
303	23162	52040
304	23241	51969
305	23313	51884
306	23389	51807
307	23469	51739
308	23544	51659
309	23619	51581
310	23695	51504
311	23769	51423
312	23842	51341
313	23924	51277
314	24002	51206
315	24071	51114
316	24140	51023
317	24217	50948
318	24294	50873
319	24377	50812
320	24458	50745
321	24528	50656
322	24601	50573
323	24678	50499
324	24748	50410
325	24828	50342
326	24906	50270
327	24975	50180
328	25046	50093
329	25123	50018
330	25193	49930
331	25271	49857
332	25343	49773
333	25414	49688
334	25493	49618
335	25561	49525
336	25641	49456
337	25716	49379
338	25787	49292
339	25877	49243
340	25960	49180
341	26058	49144
342	26125	49051
343	26128	48839
344	26205	48765
345	26290	48705
346	26366	48630
347	26443	48555
348	26524	48488
349	26602	48416
350	26672	48330
351	26747	48252
352	26826	48180
